iter	RMSE
1055	0.6319680084
1056	0.6319181308
1057	0.6318279533
1058	0.6317563898
1059	0.6316914996
1060	0.6316490835
1061	0.6316019563
1062	0.6315713724
1063	0.6314818794
1064	0.631431461
1065	0.6313670941
1066	0.6313301007
1067	0.631274515
1068	0.6312052909
1069	0.6311126712
1070	0.6310928673
1071	0.6310418825
1072	0.6309961843
1073	0.6309311851
1074	0.6308954351
1075	0.6308494212
1076	0.6307854939
1077	0.6307237731
1078	0.6306337405
1079	0.6305681504
1080	0.6304875417
1081	0.6304471473
1082	0.6304107879
1083	0.63037744
1084	0.6303466926
1085	0.6302309634
1086	0.6302017951
1087	0.6301275606
1088	0.6300814188
1089	0.6300368629
1090	0.6299604503
1091	0.6299423373
1092	0.6299118681
1093	0.6298774475
1094	0.6298242677
1095	0.6297797216
1096	0.629736968
1097	0.6297029644
1098	0.6296700043
1099	0.6296320845
1100	0.629558307
1101	0.6295091666
1102	0.629437064
1103	0.6293921235
1104	0.6293359076
1105	0.6292912
1106	0.6292141692
1107	0.6291792129
1108	0.629146141
1109	0.6291064656
1110	0.6290538769
1111	0.6290260255
1112	0.6289528239
1113	0.628925399
1114	0.6288961929
1115	0.6288604504
1116	0.6288163265
1117	0.6287728836
1118	0.6286998606
1119	0.6286376271
1120	0.6285894543
1121	0.6285487582
1122	0.6285225383
1123	0.6284758547
1124	0.628453909
1125	0.6284023883
1126	0.6283373717
1127	0.6282818906
1128	0.6282395811
1129	0.6281633636
1130	0.628109051
1131	0.6280290697
1132	0.6279944069
1133	0.6279636278
1134	0.6278860437
1135	0.6278147961
1136	0.6277718274
1137	0.6276884347
1138	0.6276104724
1139	0.6275853248
1140	0.6275292691
1141	0.6274388964
1142	0.6274097305
1143	0.6273600944
1144	0.6272700445
1145	0.6272109087
1146	0.6271869406
1147	0.6271363883
1148	0.6270974207
1149	0.6270461343
1150	0.6270146637
1151	0.626970196
1152	0.6269377697
1153	0.6269221169
1154	0.626859266
1155	0.6267907557
1156	0.6267356772
1157	0.6266845715
1158	0.6266294795
1159	0.6265669262
1160	0.6265280199
1161	0.6264770514
1162	0.6264257737
1163	0.626387239
1164	0.6263337072
1165	0.6263051279
1166	0.6262541697
1167	0.6262342534
1168	0.6261848696
1169	0.626146448
1170	0.6261093059
1171	0.6260816856
1172	0.6260498092
1173	0.6260194027
1174	0.6259920278
1175	0.625902512
